id_empleado,departamento,region,educacion,cantidad_entrenamientos,edad,desempeno,antiguedad,Objetivos_80,reconocimiento_recibido,score_entrenamiento,promocion
49956,operaciones,region_12,universitario,10,32,5,7,1,1,93,1
51920,tecnologia,region_8,posgrado,10,36,5,9,0,1,92,1
31877,operaciones,region_32,universitario,10,30,5,3,0,1,66,1
71350,ventas,region_17,universitario,10,29,5,3,0,1,67,1
66900,operaciones,region_22,universitario,9,38,5,7,0,1,70,1
36097,Analytics,region_20,universitario,9,29,5,4,1,1,88,0
42022,ventas,region_4,posgrado,7,37,5,7,1,1,45,0
46806,tecnologia,region_7,posgrado,7,37,5,10,0,1,88,1
25943,tecnologia,region_5,universitario,5,45,5,7,1,1,82,1
48154,operaciones,region_2,posgrado,5,37,5,3,1,1,56,1
13892,tecnologia,region_2,posgrado,4,40,5,3,1,1,75,0
58097,Analytics,region_32,universitario,4,31,5,3,1,1,85,0
70399,operaciones,region_22,posgrado,4,41,5,6,1,1,61,0
33673,compras,region_22,universitario,3,29,5,5,1,1,87,1
39552,Analytics,region_22,universitario,3,29,5,5,0,1,85,1
57924,Legal,region_31,universitario,3,32,5,2,1,1,94,1
74454,compras,region_13,posgrado,3,41,5,5,1,1,70,0
3831,Analytics,region_29,universitario,3,34,5,6,1,1,80,0
56183,Analytics,region_4,posgrado,3,37,5,9,1,1,89,1
44094,finanzas,region_2,universitario,3,33,5,9,1,1,63,0
7355,tecnologia,region_16,posgrado,3,40,5,6,1,1,84,1
43313,finanzas,region_7,secundario,3,25,5,2,1,1,64,0
60536,compras,region_7,posgrado,3,39,5,7,0,1,96,1
7324,Analytics,region_1,universitario,2,27,5,4,1,1,78,0
11388,ventas,region_2,posgrado,2,40,5,6,0,1,95,1
64684,ventas,region_7,universitario,2,40,5,4,0,1,63,1
45637,ventas,region_2,universitario,2,40,5,5,1,1,49,0
40701,ventas,region_22,universitario,2,35,5,8,0,1,91,1
37408,operaciones,region_11,universitario,2,30,5,3,0,1,98,1
18313,Analytics,region_22,universitario,2,29,5,5,0,1,82,1
65262,HR,region_3,universitario,2,27,5,2,1,1,49,1
77476,tecnologia,region_2,universitario,2,37,5,4,1,1,83,1
4749,ventas,region_28,posgrado,2,38,5,10,1,1,93,1
31170,tecnologia,region_27,universitario,2,30,5,4,1,1,82,0
75177,operaciones,region_2,universitario,2,47,5,6,0,1,74,1
5597,operaciones,region_13,universitario,2,34,5,7,0,1,89,1
40694,ventas,region_30,universitario,2,31,5,5,0,1,51,0
75999,compras,region_20,universitario,2,31,5,2,0,1,84,1
70639,ventas,region_15,universitario,2,32,5,7,1,1,54,0
37145,ventas,region_2,posgrado,2,44,5,7,1,1,46,0
64621,tecnologia,region_22,universitario,2,28,5,3,0,1,89,1
46693,ventas,region_4,universitario,2,45,5,5,1,1,51,0
11024,Analytics,region_22,universitario,2,25,5,2,1,1,81,0
27275,tecnologia,region_22,universitario,2,30,5,2,1,1,75,0
56712,tecnologia,region_2,universitario,2,42,5,11,1,1,84,0
31499,Analytics,region_22,universitario,2,27,5,7,0,1,84,1
10565,Analytics,region_7,posgrado,2,37,5,4,0,1,84,1
75240,ventas,region_2,universitario,2,48,5,6,0,1,85,1
51792,R&D,region_2,universitario,2,44,5,2,1,1,86,0
61932,ventas,region_19,universitario,2,32,5,5,1,1,50,0
7278,ventas,region_27,universitario,2,30,5,2,1,1,46,0
17074,finanzas,region_13,universitario,2,31,5,6,1,1,98,1
31830,ventas,region_2,universitario,2,29,5,3,1,1,51,1
6459,Analytics,region_22,tecnico,2,28,5,5,1,1,91,1
43205,finanzas,region_4,universitario,2,33,5,7,0,1,71,1
19497,Analytics,region_27,universitario,2,32,5,7,1,1,83,0
48194,ventas,region_24,universitario,2,31,5,6,0,1,50,0
41327,Analytics,region_13,universitario,2,33,5,4,0,1,89,0
23954,operaciones,region_2,tecnico,2,38,5,3,1,1,53,0
64540,compras,region_2,posgrado,10,55,5,12,0,1,70,0
43970,compras,region_13,universitario,10,28,5,2,0,1,71,0
49408,compras,region_2,universitario,10,60,5,3,0,1,69,0
12327,ventas,region_2,posgrado,10,42,5,13,0,1,49,0
640,compras,region_2,universitario,10,36,5,10,0,1,66,0
