employee_id,fit_cultural,experiencia_rol,fuente,educacion,departamento,senority,tamano_compania,tipo_compania,empresas_previas,habilidades_cognitivas,perfil_exito
13255,0.939,no,online,graduado,datos,6,10/49,publica,1,0.79,1
20562,0.939,si,online,graduado,datos,3,10000+,privada,0,0.68,1
21587,0.939,si,online,graduado,datos,1,10/49,privada,1,0.63,1
311,0.939,si,online,graduado,datos,4,50-99,privada,1,0.61,1
13338,0.939,si,online,graduado,people,1,50-99,privada,0,0.54,1
22411,0.939,si,online,graduado,datos,1,10000+,publica,1,0.53,1
31832,0.939,si,online,graduado,datos,10,5000-9999,privada,1,0.52,1
21481,0.939,si,online,graduado,datos,4,100-500,privada,3,0.46,1
18645,0.939,si,online,graduado,datos,6,<10,privada,1,0.43,1
22750,0.939,si,online,graduado,datos,3,50-99,startup,1,0.42,1
23365,0.939,si,online,graduado,datos,1,<10,startup,1,0.41,1
32173,0.939,si,online,graduado,datos,2,100-500,privada,1,0.39,1
6715,0.939,si,online,graduado,datos,2,10/49,privada,1,0.38,1
10474,0.939,si,online,graduado,datos,1,10000+,privada,5,0.37,1
14385,0.939,si,online,graduado,datos,1,10/49,privada,1,0.34,1
32185,0.939,no,online,graduado,datos,5,10/49,privada,1,0.32,1
28502,0.926,no,online,graduado,datos,12,50-99,privada,1,0.92,1
6031,0.926,no,online,graduado,datos,7,100-500,startup,1,0.91,1
17234,0.926,no,online,graduado,datos,2,50-99,ong,1,0.9,1
17162,0.926,no,online,graduado,datos,4,10/49,privada,1,0.9,1
27301,0.926,no,online,graduado,datos,10,5000-9999,privada,5,0.86,1
4807,0.926,no,online,graduado,datos,8,10000+,privada,0,0.85,1
14625,0.926,no,online,graduado,datos,7,10000+,privada,1,0.85,1
19697,0.926,no,online,graduado,datos,1,10000+,privada,1,0.84,1
4817,0.926,no,online,graduado,datos,2,10000+,privada,1,0.84,1
12670,0.926,no,online,graduado,datos,1,50-99,privada,1,0.84,1
19410,0.926,no,online,graduado,datos,1,1000-4999,privada,1,0.83,1
31470,0.926,no,online,graduado,datos,5,10/49,startup,1,0.81,1
19388,0.926,no,online,graduado,datos,2,50-99,privada,0,0.78,1
1944,0.926,no,online,graduado,datos,4,<10,startup,1,0.77,1
23516,0.926,no,online,graduado,finanzas,5,<10,privada,2,0.75,1
7857,0.926,si,online,graduado,datos,10,100-500,privada,5,0.74,1
24236,0.926,si,online,graduado,datos,1,10/49,startup,1,0.74,1
15248,0.926,si,online,graduado,datos,5,10000+,privada,3,0.74,1
1562,0.926,si,online,graduado,datos,17,10000+,privada,5,0.73,1
31767,0.926,si,online,graduado,datos,1,10000+,privada,1,0.72,1
27421,0.926,si,online,graduado,datos,3,10000+,privada,1,0.72,1
11946,0.926,si,online,graduado,datos,5,50-99,privada,5,0.71,1
30084,0.926,si,online,graduado,datos,1,<10,privada,1,0.67,1
21977,0.926,no,online,graduado,datos,19,100-500,privada,1,0.62,1
24150,0.926,no,online,graduado,datos,4,5000-9999,privada,4,0.61,1
21368,0.926,no,online,graduado,datos,6,100-500,startup,1,0.61,1
5694,0.926,no,online,graduado,datos,2,<10,privada,0,0.61,1
24285,0.926,no,online,graduado,datos,5,50-99,startup,1,0.6,1
9261,0.926,no,online,graduado,datos,3,500-999,privada,3,0.6,1
12305,0.926,no,online,graduado,datos,2,1000-4999,privada,3,0.59,1
9750,0.926,no,online,graduado,datos,1,10000+,privada,1,0.59,1
31753,0.926,no,online,graduado,datos,2,<10,privada,2,0.58,1
15914,0.926,no,online,graduado,datos,1,50-99,startup,1,0.58,1
15369,0.926,no,online,graduado,marketing,4,10/49,privada,1,0.57,1
25167,0.926,no,online,graduado,datos,10,10/49,privada,1,0.57,1
11523,0.926,no,online,graduado,datos,9,100-500,privada,1,0.4,1
20220,0.926,no,online,graduado,datos,11,50-99,privada,1,0.38,1
6924,0.925,si,online,graduado,datos,1,10/49,otra,1,0.92,1
12150,0.925,si,online,graduado,datos,16,50-99,privada,5,0.9,1
17565,0.925,si,online,graduado,datos,1,1000-4999,privada,1,0.87,1
3764,0.925,si,online,graduado,finanzas,15,10/49,privada,5,0.82,1
8306,0.925,si,online,graduado,marketing,1,1000-4999,privada,1,0.73,1
26203,0.925,si,online,graduado,datos,3,10/49,privada,2,0.63,1
3555,0.925,si,online,graduado,administracion,10,<10,privada,1,0.62,1
31258,0.924,si,evento,graduado,marketing,7,100-500,privada,4,0.97,1
19513,0.924,si,evento,graduado,datos,11,50-99,privada,2,0.94,1
77,0.924,si,evento,graduado,datos,3,10000+,privada,1,0.91,1
12456,0.924,si,evento,graduado,it,1,100-500,privada,5,0.9,1
26254,0.924,si,evento,graduado,datos,5,10/49,privada,1,0.86,1
29489,0.924,si,evento,graduado,datos,6,100-500,privada,1,0.85,1
3350,0.924,si,evento,graduado,datos,9,10000+,privada,0,0.85,1
26185,0.924,si,evento,graduado,administracion,2,50-99,privada,2,0.83,1
19493,0.924,si,evento,graduado,people,1,5000-9999,privada,1,0.8,1
20732,0.924,si,evento,graduado,datos,20,50-99,privada,5,0.73,1
22764,0.924,si,evento,graduado,datos,2,100-500,publica,1,0.7,1
13541,0.924,no,evento,graduado,datos,20,50-99,privada,1,0.66,1
17213,0.924,no,evento,graduado,people,14,50-99,privada,5,0.65,1
8878,0.924,no,evento,graduado,datos,2,100-500,publica,2,0.64,1
8946,0.924,no,evento,graduado,datos,4,50-99,privada,1,0.6,1
2075,0.924,no,evento,graduado,datos,1,10000+,privada,1,0.54,1
18024,0.924,no,evento,graduado,datos,12,100-500,privada,2,0.53,1
22572,0.924,no,evento,graduado,datos,4,10000+,privada,1,0.39,1
10852,0.924,no,evento,graduado,finanzas,2,5000-9999,publica,1,0.38,1
23315,0.923,si,evento,graduado,finanzas,1,500-999,publica,0,0.69,1
26265,0.923,si,evento,graduado,operaciones,15,50-99,publica,1,0.63,1
22610,0.92,si,evento,graduado,datos,20,1000-4999,publica,0,0.9,1
17005,0.92,si,evento,graduado,marketing,20,1000-4999,privada,5,0.87,1
32879,0.92,si,evento,graduado,operaciones,1,5000-9999,privada,1,0.84,1
11660,0.92,si,evento,graduado,datos,20,1000-4999,privada,1,0.83,1
3676,0.92,si,evento,graduado,datos,15,5000-9999,ong,5,0.81,1
18712,0.92,si,evento,graduado,datos,2,500-999,publica,1,0.81,1
3792,0.92,si,evento,graduado,datos,9,500-999,privada,2,0.79,1
5196,0.92,si,evento,graduado,datos,10,100-500,privada,2,0.72,1
17556,0.92,si,evento,graduado,datos,5,<10,otra,0,0.72,1
29971,0.92,si,evento,graduado,datos,4,1000-4999,publica,1,0.57,1
12637,0.92,no,evento,graduado,datos,1,10000+,privada,1,0.42,1
20183,0.92,no,evento,graduado,administracion,2,1000-4999,privada,2,0.34,1
1508,0.87,no,evento,graduado,datos,3,10/49,privada,1,0.6,1
27590,0.83,no,evento,graduado,datos,5,10000+,publica,5,0.83,1
24498,0.83,no,online,graduado,datos,3,10000+,privada,1,0.65,1
32138,0.83,no,online,graduado,datos,10,10/49,privada,5,0.6,1
28010,0.82,no,online,graduado,administracion,2,100-500,publica,2,0.59,1
27929,0.82,no,online,graduado,datos,15,10000+,privada,2,0.59,1
32038,0.81,no,online,graduado,datos,5,10/49,startup,1,0.59,1
19698,0.754,no,online,graduado,datos,6,10/49,startup,1,0.1,1
33209,0.74,no,online,graduado,datos,2,100-500,ong,1,0.65,1
8428,0.73,no,online,graduado,finanzas,3,50-99,privada,1,0.63,1
327,0.72,no,online,graduado,datos,2,500-999,otra,1,0.91,1
31886,0.72,no,online,graduado,finanzas,15,1000-4999,privada,5,0.91,1
5349,0.72,no,online,graduado,datos,6,10000+,privada,4,0.65,1
16687,0.72,no,online,graduado,datos,15,10/49,privada,5,0.62,1
16869,0.72,no,online,graduado,finanzas,3,100-500,privada,1,0.56,1
25483,0.71,no,online,graduado,datos,3,1000-4999,privada,3,0.55,1
9096,0.69,no,online,graduado,datos,20,50-99,privada,5,0.9,1
15054,0.68,no,online,graduado,finanzas,5,10000+,privada,3,0.62,1
25281,0.624,no,online,graduado,datos,20,50-99,privada,5,0,1
10733,0.579,no,online,graduado,datos,4,50-99,privada,1,0.97,1
13410,0.579,no,online,graduado,datos,2,5000-9999,publica,1,0.94,1
18443,0.579,no,online,graduado,datos,1,50-99,privada,1,0.91,1
24449,0.579,no,online,graduado,marketing,4,50-99,startup,1,0.7,1
14463,0.579,no,online,graduado,datos,3,100-500,privada,3,0.69,1
26853,0.579,no,online,graduado,datos,3,<10,ong,1,0.69,1
23530,0.579,no,online,graduado,datos,5,10000+,privada,1,0.68,1
